gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
4,3,6,28,0,0,0,0.3
4,1,52,1,0,0,2,0.3
0,7,54,30,0,0,1,0.3
4,7,55,19,0,0,1,0.3
4,4,29,29,0,0,0,0.3
0,1,39,11,0,0,2,0.3
4,7,49,27,0,0,2,0.3
4,3,7,10,0,0,2,0.3
2,3,14,12,0,0,2,0.3
2,1,52,6,2,2,1,0.3
2,7,44,3,2,2,2,0.3
4,3,6,35,0,0,2,0.3
2,1,16,22,0,0,2,0.3
4,3,7,19,0,0,0,0.3
4,7,49,14,0,0,1,0.3
2,7,15,11,0,0,1,0.3
4,1,50,28,5,4,2,0.3
4,0,19,7,1,1,1,0.3
3,7,54,10,0,0,2,0.3
2,7,38,3,2,2,2,0.3
2,1,52,1,0,0,1,0.3
2,7,15,22,5,4,1,0.3
2,7,46,1,0,0,1,0.3
4,7,13,19,1,1,2,0.3
4,1,9,30,0,0,2,0.3
4,1,52,1,0,0,1,0.3
4,7,38,40,0,0,2,0.3
4,7,54,40,5,4,1,0.3
2,1,16,11,0,0,2,0.3
1,2,12,2,0,0,2,0.3
4,7,13,3,1,1,2,0.3
4,7,38,29,0,0,1,0.3
4,7,54,28,0,0,0,0.3
0,1,9,2,0,0,2,0.3
4,1,41,2,0,0,2,0.3
1,1,41,30,0,0,2,0.3
2,7,38,26,2,2,2,0.3
4,1,39,2,0,0,2,0.3
4,5,36,17,1,1,2,0.3
2,7,38,2,0,0,0,0.3
4,3,6,1,0,0,0,0.3
2,7,44,1,2,2,2,0.3
4,4,29,1,0,0,0,0.3
1,1,39,22,0,0,2,0.3
2,3,7,3,0,0,2,0.3
4,5,36,41,1,1,1,0.3
4,7,54,40,0,0,2,0.3
2,7,38,41,0,0,2,0.3
4,3,7,30,0,0,0,0.3
4,3,7,11,0,0,2,0.3
2,7,15,11,0,0,2,0.3
4,5,36,2,1,1,1,0.3
4,7,20,29,1,1,1,0.3
4,2,12,1,0,0,1,0.3
0,7,15,2,0,0,2,0.3
4,2,12,28,0,0,1,0.3
4,7,49,30,0,0,1,0.3
4,0,19,26,1,1,1,0.3
4,0,19,10,1,1,1,0.3
2,4,28,40,0,0,2,0.3
4,4,32,17,0,0,2,0.3
0,1,39,13,0,0,2,0.3
4,7,49,14,0,0,2,0.3
4,1,35,40,1,1,2,0.3
4,5,36,1,1,1,1,0.3
0,7,54,1,0,0,1,0.3
1,1,41,28,0,0,2,0.3
4,3,6,28,0,0,2,0.3
